iter	Passed	Remaining
0	155	155446
1	157	78443
2	158	52652
3	159	39744
4	161	32102
5	162	26908
6	163	23199
7	164	20452
8	166	18377
9	168	16648
10	169	15246
11	171	14091
12	172	13074
13	173	12201
14	174	11446
15	175	10785
16	176	10203
17	177	9686
18	178	9221
19	179	8799
20	180	8421
21	181	8086
22	182	7772
23	184	7486
24	185	7225
25	186	6988
26	187	6768
27	188	6555
28	190	6365
29	191	6179
30	192	6008
31	193	5844
32	194	5697
33	195	5554
34	196	5419
35	197	5288
36	198	5175
37	200	5066
38	201	4958
39	202	4854
40	203	4763
41	204	4669
42	205	4579
43	206	4494
44	208	4417
45	209	4339
46	210	4262
47	211	4191
48	212	4122
49	213	4055
50	214	3991
51	215	3928
52	216	3868
53	217	3810
54	218	3755
55	219	3701
56	220	3655
57	222	3606
58	223	3557
59	224	3517
60	227	3495
61	228	3461
62	229	3419
63	231	3379
64	232	3338
65	233	3297
66	234	3259
67	234	3215
68	235	3177
69	236	3142
70	237	3109
71	238	3075
72	239	3042
73	240	3014
74	242	2989
75	243	2962
76	244	2931
77	245	2902
78	246	2874
79	247	2847
80	248	2821
81	249	2794
82	250	2768
83	251	2743
84	252	2715
85	253	2692
86	254	2665
87	255	2651
88	257	2635
89	258	2613
90	259	2592
91	260	2571
92	261	2550
93	262	2530
94	263	2510
95	264	2491
96	265	2471
97	266	2453
98	267	2436
99	268	2419
100	270	2404
101	271	2393
102	273	2378
103	274	2366
104	275	2351
105	276	2335
106	277	2318
107	278	2302
108	279	2286
109	280	2270
110	281	2254
111	282	2240
112	285	2241
113	286	2228
114	288	2218
115	289	2202
116	290	2189
117	291	2175
118	291	2160
119	292	2146
120	293	2134
121	294	2121
122	295	2104
123	296	2091
124	296	2078
125	298	2073
126	300	2065
127	301	2053
128	302	2043
129	303	2032
130	304	2021
131	305	2010
132	306	2000
133	307	1989
134	308	1977
135	309	1966
136	310	1956
137	311	1944
138	312	1936
139	314	1932
140	315	1924
141	317	1919
142	318	1909
143	319	1900
144	320	1890
145	321	1881
146	322	1871
147	323	1862
148	324	1853
149	325	1845
150	327	1838
151	328	1831
152	330	1827
153	331	1821
154	332	1813
155	333	1805
156	334	1795
157	335	1787
158	336	1779
159	337	1771
160	338	1763
161	339	1756
162	340	1748
163	342	1746
164	345	1746
165	346	1740
166	347	1733
167	348	1726
168	349	1720
169	351	1713
170	352	1706
171	353	1699
172	354	1692
173	355	1685
174	357	1684
175	358	1679
176	360	1675
177	361	1670
178	362	1663
179	363	1656
180	364	1647
181	365	1640
182	365	1633
183	367	1627
184	368	1622
185	369	1617
186	372	1617
187	373	1614
188	375	1609
189	376	1607
190	378	1602
191	379	1596
192	380	1591
193	381	1585
194	382	1579
195	383	1573
196	385	1570
197	386	1567
198	387	1561
199	388	1555
200	389	1550
201	390	1544
202	391	1538
203	392	1532
204	393	1527
205	394	1521
206	395	1516
207	396	1511
208	397	1506
209	399	1503
210	401	1501
211	402	1496
212	404	1493
213	405	1488
214	406	1483
215	407	1478
216	408	1473
217	409	1468
218	410	1464
219	411	1459
220	412	1454
221	413	1450
222	415	1447
223	417	1445
224	418	1441
225	419	1437
226	420	1432
227	421	1428
228	422	1423
229	424	1419
230	425	1416
231	426	1412
232	428	1410
233	430	1409
234	431	1406
235	433	1402
236	434	1398
237	435	1394
238	436	1390
239	437	1386
240	439	1383
241	440	1379
242	441	1376
243	443	1374
244	445	1373
245	446	1370
246	448	1368
247	449	1364
248	451	1360
249	452	1356
250	453	1352
251	454	1349
252	455	1345
253	457	1343
254	459	1343
255	461	1341
256	462	1337
257	463	1333
258	465	1330
